timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723809937696,46,Petición HTTP,200,OK,Open Model Thread Group 1-2393,text,true,,189,196,14,14,http://127.0.0.1:5000/,46,0,2
1723809937709,35,Petición HTTP,200,OK,Open Model Thread Group 1-2397,text,true,,189,196,13,13,http://127.0.0.1:5000/,35,0,1
1723809937712,32,Petición HTTP,200,OK,Open Model Thread Group 1-2399,text,true,,189,196,12,12,http://127.0.0.1:5000/,32,0,1
1723809937690,54,Petición HTTP,200,OK,Open Model Thread Group 1-2392,text,true,,189,196,11,11,http://127.0.0.1:5000/,54,0,2
1723809937683,64,Petición HTTP,200,OK,Open Model Thread Group 1-2391,text,true,,189,196,13,13,http://127.0.0.1:5000/,63,0,1
1723809937699,48,Petición HTTP,200,OK,Open Model Thread Group 1-2394,text,true,,189,196,12,12,http://127.0.0.1:5000/,48,0,1
1723809937713,39,Petición HTTP,200,OK,Open Model Thread Group 1-2400,text,true,,189,196,12,12,http://127.0.0.1:5000/,39,0,1
1723809937709,44,Petición HTTP,200,OK,Open Model Thread Group 1-2398,text,true,,189,196,11,11,http://127.0.0.1:5000/,44,0,1
1723809937673,81,Petición HTTP,200,OK,Open Model Thread Group 1-2388,text,true,,189,196,10,10,http://127.0.0.1:5000/,81,0,3
1723809937737,19,Petición HTTP,200,OK,Open Model Thread Group 1-2403,text,true,,189,196,9,9,http://127.0.0.1:5000/,19,0,1
1723809937703,54,Petición HTTP,200,OK,Open Model Thread Group 1-2396,text,true,,189,196,9,9,http://127.0.0.1:5000/,54,0,1
1723809937737,20,Petición HTTP,200,OK,Open Model Thread Group 1-2401,text,true,,189,196,7,7,http://127.0.0.1:5000/,20,0,1
1723809937746,14,Petición HTTP,200,OK,Open Model Thread Group 1-2406,text,true,,189,196,6,6,http://127.0.0.1:5000/,14,0,1
1723809937746,14,Petición HTTP,200,OK,Open Model Thread Group 1-2405,text,true,,189,196,6,6,http://127.0.0.1:5000/,14,0,1
1723809937737,25,Petición HTTP,200,OK,Open Model Thread Group 1-2404,text,true,,189,196,6,6,http://127.0.0.1:5000/,25,0,1
